"Id","ParentId","StartTime","WS_MB","CPU","Threads","HandleCount","Path"
"2120","6160","4/24/2026 6:05:01 AM","401.9","934.078125","System.Diagnostics.ProcessThreadCollection","1505","C:\Program Files\WindowsApps\Claude_1.3883.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"3976","2120","4/24/2026 6:05:01 AM","7.9","0.0625","System.Diagnostics.ProcessThreadCollection","220","C:\Program Files\WindowsApps\Claude_1.3883.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"5996","2120","4/24/2026 6:05:01 AM","111.4","8728.375","System.Diagnostics.ProcessThreadCollection","872","C:\Program Files\WindowsApps\Claude_1.3883.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"8656","2120","4/24/2026 6:05:01 AM","34","12.65625","System.Diagnostics.ProcessThreadCollection","402","C:\Program Files\WindowsApps\Claude_1.3883.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"4516","2120","4/24/2026 6:05:01 AM","49.2","0.25","System.Diagnostics.ProcessThreadCollection","302","C:\Program Files\WindowsApps\Claude_1.3883.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"8672","2120","4/24/2026 6:05:01 AM","22.5","0.25","System.Diagnostics.ProcessThreadCollection","292","C:\Program Files\WindowsApps\Claude_1.3883.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"4380","2120","4/24/2026 6:05:02 AM","1107.7","8577.5625","System.Diagnostics.ProcessThreadCollection","412","C:\Program Files\WindowsApps\Claude_1.3883.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"6060","2120","4/24/2026 6:05:03 AM","30.4","1.46875","System.Diagnostics.ProcessThreadCollection","324","C:\Program Files\WindowsApps\Claude_1.3883.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"2520","2120","4/24/2026 6:05:03 AM","23.9","0.453125","System.Diagnostics.ProcessThreadCollection","238","C:\Program Files\WindowsApps\Claude_1.3883.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"5008","2120","4/24/2026 6:05:03 AM","32.4","9.3125","System.Diagnostics.ProcessThreadCollection","591","C:\Program Files\WindowsApps\Claude_1.3883.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"13592","2120","4/24/2026 6:09:35 AM","349.4","51.578125","System.Diagnostics.ProcessThreadCollection","404","C:\Users\L\AppData\Roaming\Claude\claude-code\2.1.111\claude.exe"
"15700","2120","4/24/2026 9:20:15 AM","177.5","14.75","System.Diagnostics.ProcessThreadCollection","384","C:\Users\L\AppData\Roaming\Claude\claude-code\2.1.111\claude.exe"
"14612","2120","4/24/2026 9:28:09 AM","97.7","9.953125","System.Diagnostics.ProcessThreadCollection","343","C:\Users\L\AppData\Roaming\Claude\claude-code\2.1.111\claude.exe"
"3484","2120","4/24/2026 10:22:55 AM","92.1","1.4375","System.Diagnostics.ProcessThreadCollection","336","C:\Program Files\WindowsApps\Claude_1.3883.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"17072","2120","4/24/2026 11:21:53 AM","499.4","13.34375","System.Diagnostics.ProcessThreadCollection","384","C:\Users\L\AppData\Roaming\Claude\claude-code\2.1.111\claude.exe"
"20368","2120","4/24/2026 12:58:48 PM","715.6","8","System.Diagnostics.ProcessThreadCollection","350","C:\Users\L\AppData\Roaming\Claude\claude-code\2.1.111\claude.exe"
"1056","2120","4/24/2026 1:15:49 PM","528.6","1.671875","System.Diagnostics.ProcessThreadCollection","341","C:\Users\L\AppData\Roaming\Claude\claude-code\2.1.111\claude.exe"
"18900","2120","4/24/2026 1:16:16 PM","637.1","4.171875","System.Diagnostics.ProcessThreadCollection","418","C:\Users\L\AppData\Roaming\Claude\claude-code\2.1.111\claude.exe"
"21788","2120","4/24/2026 1:18:23 PM","624.4","2.875","System.Diagnostics.ProcessThreadCollection","349","C:\Users\L\AppData\Roaming\Claude\claude-code\2.1.111\claude.exe"
