timestamp,pstate,clocks.current.graphics,clocks.current.memory,temperature.gpu,temperature.memory,power.draw,power.limit,utilization.gpu,utilization.memory,pcie.link.gen.current,pcie.link.width.current,ecc.errors.corrected.volatile.total,ecc.errors.uncorrected.volatile.total,ecc.errors.corrected.aggregate.total,ecc.errors.uncorrected.aggregate.total
2026/04/25 10:34:21.898, P0, 2730, 14001, 44, N/A, 67.90, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:22.908, P0, 2722, 14001, 44, N/A, 67.71, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:23.916, P0, 2722, 14001, 44, N/A, 68.22, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:24.921, P0, 2722, 14001, 44, N/A, 68.32, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:25.926, P0, 2722, 14001, 44, N/A, 68.30, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:26.932, P0, 2722, 14001, 44, N/A, 68.16, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:27.947, P0, 2722, 14001, 44, N/A, 68.25, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:28.957, P0, 2730, 14001, 44, N/A, 67.62, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:29.969, P0, 2722, 14001, 44, N/A, 67.97, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:30.975, P0, 2730, 14001, 44, N/A, 68.38, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:31.980, P0, 2722, 14001, 44, N/A, 67.69, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:32.990, P0, 2715, 14001, 44, N/A, 67.60, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:33.997, P0, 2722, 14001, 44, N/A, 68.03, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:34.998, P0, 2722, 14001, 44, N/A, 67.88, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:36.000, P0, 2722, 14001, 44, N/A, 67.94, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:37.001, P0, 2722, 14001, 44, N/A, 68.16, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:38.003, P0, 2722, 14001, 44, N/A, 68.18, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:39.005, P0, 2722, 14001, 44, N/A, 68.32, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:40.007, P0, 2722, 14001, 44, N/A, 68.30, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:41.010, P0, 2737, 14001, 44, N/A, 68.63, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:42.015, P0, 2737, 14001, 44, N/A, 68.24, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:43.019, P0, 2722, 14001, 44, N/A, 68.13, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:44.020, P0, 2730, 14001, 44, N/A, 68.55, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:45.021, P0, 2730, 14001, 44, N/A, 68.57, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:46.022, P0, 2730, 14001, 44, N/A, 68.72, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:47.036, P0, 2730, 14001, 44, N/A, 68.75, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:48.038, P0, 2730, 14001, 44, N/A, 68.81, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:49.040, P0, 2730, 14001, 44, N/A, 68.82, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:50.055, P0, 2730, 14001, 44, N/A, 68.82, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:51.057, P0, 2730, 14001, 45, N/A, 68.85, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:34:52.060, P0, 2722, 14001, 44, N/A, 68.41, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
