"Id","Name","ParentId","StartTime","CpuSec","WS_MB","Threads","HandleCount","Path"
"1508","claude","7540","2026-04-25T10:28:43","0.62","62.3","22","439","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"2644","claude","7540","2026-04-25T10:30:43","1.86","566","30","387","C:\Users\L\AppData\Roaming\Claude\claude-code\2.1.119\claude.exe"
"4004","claude","7540","2026-04-25T10:28:43","0.08","78.5","26","295","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"4532","claude","7540","2026-04-25T10:28:43","62.48","136.1","73","768","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"5152","claude","7540","2026-04-25T10:28:43","0.17","78.6","26","292","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"6140","claude","7540","2026-04-25T10:28:42","0.02","34.4","8","238","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"7540","claude","6276","2026-04-25T10:28:42","31","549.7","73","1296","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"8640","claude","7540","2026-04-25T10:28:45","0.44","132.4","20","328","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"9284","claude","7540","2026-04-25T10:28:43","86.78","1209.1","27","413","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"9560","claude","7540","2026-04-25T10:28:44","0.34","115.8","24","331","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"9580","claude","7540","2026-04-25T10:28:44","0.33","126.2","20","328","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"9844","claude","7540","2026-04-25T10:28:44","0.02","93.7","9","238","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"9852","claude","7540","2026-04-25T10:28:44","0.22","123.7","31","595","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"10504","claude","7540","2026-04-25T10:28:47","3.06","574.5","37","398","C:\Users\L\AppData\Roaming\Claude\claude-code\2.1.119\claude.exe"
"15816","claude","7540","2026-04-25T10:31:00","2.28","592.7","40","356","C:\Users\L\AppData\Roaming\Claude\claude-code\2.1.119\claude.exe"
