timestamp,pstate,clocks.current.graphics,clocks.current.memory,temperature.gpu,temperature.memory,power.draw,power.limit,utilization.gpu,utilization.memory,pcie.link.gen.current,pcie.link.width.current,ecc.errors.corrected.volatile.total,ecc.errors.uncorrected.volatile.total,ecc.errors.corrected.aggregate.total,ecc.errors.uncorrected.aggregate.total
2026/04/25 11:09:15.846, P0, 2722, 14001, 42, N/A, 63.70, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:16.848, P0, 2730, 14001, 42, N/A, 63.69, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:17.863, P0, 2745, 14001, 42, N/A, 63.94, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:18.877, P0, 2737, 14001, 42, N/A, 63.87, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:19.892, P0, 2737, 14001, 42, N/A, 63.94, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:20.905, P0, 2737, 14001, 42, N/A, 64.00, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:21.906, P0, 2737, 14001, 42, N/A, 63.92, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:22.906, P0, 2722, 14001, 42, N/A, 63.71, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:23.921, P0, 2730, 14001, 42, N/A, 63.90, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:24.922, P0, 2737, 14001, 42, N/A, 64.08, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:25.923, P0, 2730, 14001, 42, N/A, 63.84, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:26.925, P0, 2752, 14001, 42, N/A, 64.68, 350.00, 12, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:27.927, P0, 2737, 14001, 42, N/A, 63.94, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:28.929, P0, 2745, 14001, 42, N/A, 64.16, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:29.930, P0, 2722, 14001, 42, N/A, 63.95, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:30.931, P0, 2722, 14001, 42, N/A, 63.86, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:31.934, P0, 2737, 14001, 42, N/A, 64.15, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:32.936, P0, 2737, 14001, 42, N/A, 64.15, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:33.940, P0, 2745, 14001, 42, N/A, 64.10, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:34.942, P0, 2730, 14001, 42, N/A, 64.08, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:35.957, P0, 2722, 14001, 42, N/A, 64.00, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:36.973, P0, 2730, 14001, 42, N/A, 63.76, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:37.987, P0, 2722, 14001, 42, N/A, 63.84, 350.00, 12, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:38.988, P0, 2722, 14001, 42, N/A, 63.84, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:39.990, P0, 2722, 14001, 42, N/A, 63.89, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:40.992, P0, 2737, 14001, 42, N/A, 64.18, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:42.005, P0, 2737, 14001, 42, N/A, 64.14, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:43.019, P0, 2737, 14001, 42, N/A, 64.11, 350.00, 12, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:44.022, P0, 2737, 14001, 42, N/A, 64.04, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:45.038, P0, 2737, 14001, 42, N/A, 64.13, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 11:09:46.053, P0, 2737, 14001, 42, N/A, 64.13, 350.00, 11, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
