"Id","Name","ParentId","StartTime","CpuSec","WS_MB","Threads","HandleCount","Path"
"6776","claude","8976","2026-04-25T11:03:05","92.72","137.5","73","798","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"7248","claude","8976","2026-04-25T11:05:30","1.86","491.5","29","383","C:\Users\L\AppData\Roaming\Claude\claude-code\2.1.119\claude.exe"
"7728","claude","8976","2026-04-25T11:03:05","0.81","62.2","19","403","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"8520","claude","8976","2026-04-25T11:03:05","0","34.4","8","238","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"8640","claude","8976","2026-04-25T11:03:05","0.11","79.1","26","295","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"8976","claude","1908","2026-04-25T11:03:05","45.59","256.8","73","1310","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"9248","claude","8976","2026-04-25T11:03:05","0.09","78.8","26","292","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"9596","claude","8976","2026-04-25T11:03:05","122.94","568.3","27","408","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"9860","claude","8976","2026-04-25T11:03:06","0.34","109.7","24","331","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"9884","claude","8976","2026-04-25T11:03:06","0.33","120.2","20","328","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"10168","claude","8976","2026-04-25T11:03:07","0.02","93.8","9","238","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"10172","claude","8976","2026-04-25T11:03:07","0.16","123.8","31","591","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"10976","claude","8976","2026-04-25T11:03:08","0.42","131.4","20","328","C:\Program Files\WindowsApps\Claude_1.4758.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"11312","claude","8976","2026-04-25T11:03:10","4.5","622.3","37","410","C:\Users\L\AppData\Roaming\Claude\claude-code\2.1.119\claude.exe"
"13092","claude","8976","2026-04-25T11:04:19","3.41","583.6","38","350","C:\Users\L\AppData\Roaming\Claude\claude-code\2.1.119\claude.exe"
