"Image Name","PID","Session Name","Session#","Mem Usage","Status","User Name","CPU Time","Window Title"
"System Idle Process","0","Services","0","8 K","Unknown","NT AUTHORITY\SYSTEM","105:55:00","N/A"
"System","4","Services","0","2,544 K","Unknown","N/A","0:39:58","N/A"
"Secure System","236","Services","0","126,712 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"Registry","280","Services","0","37,160 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"smss.exe","836","Services","0","524 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"csrss.exe","1044","Services","0","3,308 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"wininit.exe","1136","Services","0","2,724 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"csrss.exe","1144","Console","1","10,068 K","Unknown","NT AUTHORITY\SYSTEM","0:00:47","N/A"
"services.exe","1216","Services","0","9,636 K","Unknown","NT AUTHORITY\SYSTEM","0:00:04","N/A"
"LsaIso.exe","1236","Services","0","2,252 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"winlogon.exe","1264","Console","1","5,016 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"lsass.exe","1272","Services","0","19,044 K","Unknown","NT AUTHORITY\SYSTEM","0:00:20","N/A"
"svchost.exe","1448","Services","0","29,404 K","Unknown","NT AUTHORITY\SYSTEM","0:00:09","N/A"
"fontdrvhost.exe","1480","Services","0","1,128 K","Unknown","Font Driver Host\UMFD-0","0:00:00","N/A"
"fontdrvhost.exe","1488","Console","1","7,516 K","Unknown","Font Driver Host\UMFD-1","0:00:01","N/A"
"svchost.exe","1576","Services","0","12,244 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:12","N/A"
"svchost.exe","1632","Services","0","6,160 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"dwm.exe","1688","Console","1","82,824 K","Running","Window Manager\DWM-1","0:43:30","DWM Notification Window"
"svchost.exe","1780","Services","0","2,416 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","1892","Services","0","10,552 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","1940","Services","0","7,000 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","1948","Services","0","4,508 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","1984","Services","0","4,532 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","2040","Services","0","11,756 K","Unknown","NT AUTHORITY\SYSTEM","0:00:05","N/A"
"svchost.exe","976","Services","0","2,532 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","1364","Services","0","5,784 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:03","N/A"
"svchost.exe","2076","Services","0","14,708 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:01","N/A"
"NVDisplay.Container.exe","2212","Services","0","26,084 K","Unknown","NT AUTHORITY\SYSTEM","0:00:52","N/A"
"svchost.exe","2312","Services","0","7,112 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:07","N/A"
"svchost.exe","2344","Services","0","18,876 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"svchost.exe","2384","Services","0","17,852 K","Unknown","NT AUTHORITY\SYSTEM","0:00:05","N/A"
"svchost.exe","2392","Services","0","2,916 K","Unknown","NT AUTHORITY\SYSTEM","0:00:04","N/A"
"svchost.exe","2400","Services","0","5,836 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","2576","Services","0","7,560 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2624","Services","0","3,632 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2632","Services","0","7,296 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","2720","Services","0","12,516 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:00","N/A"
"svchost.exe","2784","Services","0","7,052 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2824","Services","0","9,940 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","2872","Services","0","3,700 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","3056","Services","0","6,856 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","3064","Services","0","5,452 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:09","N/A"
"svchost.exe","2492","Services","0","15,724 K","Unknown","NT AUTHORITY\SYSTEM","0:00:08","N/A"
"svchost.exe","2964","Services","0","5,532 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","3120","Services","0","7,744 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","3148","Services","0","6,876 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"spoolsv.exe","3260","Services","0","6,112 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","3308","Services","0","16,720 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"svchost.exe","3360","Services","0","4,328 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:00","N/A"
"svchost.exe","3452","Services","0","14,024 K","Unknown","NT AUTHORITY\SYSTEM","0:00:05","N/A"
"NVDisplay.Container.exe","3460","Console","1","55,904 K","Running","NT AUTHORITY\SYSTEM","0:00:19","NvSvc"
"svchost.exe","3688","Services","0","4,900 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","3696","Services","0","8,156 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"SetTimerResolutionService.exe","3704","Services","0","6,608 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","3712","Services","0","3,472 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","3728","Services","0","38,988 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:05","N/A"
"svchost.exe","3736","Services","0","2,136 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","3744","Services","0","16,064 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"MsMpEng.exe","3760","Services","0","356,472 K","Unknown","NT AUTHORITY\SYSTEM","0:11:40","N/A"
"MpDefenderCoreService.exe","3772","Services","0","13,924 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"OfficeClickToRun.exe","3784","Services","0","34,648 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"svchost.exe","2728","Services","0","5,328 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"WUDFHost.exe","4316","Services","0","3,520 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","5096","Services","0","3,356 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","4240","Services","0","2,724 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","5184","Services","0","9,704 K","Unknown","NT AUTHORITY\SYSTEM","0:00:49","N/A"
"cowork-svc.exe","5256","Services","0","15,768 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"svchost.exe","5264","Services","0","3,704 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"vmcompute.exe","5908","Services","0","3,800 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","4948","Services","0","6,640 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"sihost.exe","5556","Console","1","24,016 K","Running","DESKTOP-V5BN4SC\L","0:00:01","N/A"
"svchost.exe","5820","Console","1","2,368 K","Unknown","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"svchost.exe","5800","Console","1","16,028 K","Running","DESKTOP-V5BN4SC\L","0:00:00","Windows Push Notifications Platform"
"taskhostw.exe","5904","Console","1","11,732 K","Running","DESKTOP-V5BN4SC\L","0:00:03","Task Host Window"
"MSIAfterburner.exe","5948","Console","1","5,868 K","Running","DESKTOP-V5BN4SC\L","0:04:55","MSI Afterburner "
"explorer.exe","6160","Console","1","229,064 K","Running","DESKTOP-V5BN4SC\L","0:01:15","N/A"
"ShellHost.exe","6204","Console","1","20,152 K","Running","DESKTOP-V5BN4SC\L","0:00:00","Quick Settings"
"svchost.exe","6632","Console","1","12,148 K","Running","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"svchost.exe","6688","Services","0","18,176 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"svchost.exe","6724","Services","0","10,156 K","Unknown","NT AUTHORITY\SYSTEM","0:00:13","N/A"
"SearchHost.exe","7152","Console","1","203,196 K","Running","DESKTOP-V5BN4SC\L","0:00:02","Search"
"StartMenuExperienceHost.exe","7160","Console","1","68,820 K","Running","DESKTOP-V5BN4SC\L","0:00:02","Start"
"RuntimeBroker.exe","7208","Console","1","20,372 K","Running","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"svchost.exe","7220","Console","1","9,468 K","Unknown","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"NisSrv.exe","7708","Services","0","5,520 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"dllhost.exe","8688","Console","1","8,184 K","Running","DESKTOP-V5BN4SC\L","0:00:00","OleMainThreadWndName"
"ctfmon.exe","9072","Console","1","18,548 K","Running","DESKTOP-V5BN4SC\L","0:00:09","N/A"
"svchost.exe","6080","Services","0","9,036 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","1372","Services","0","5,708 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2152","Services","0","9,604 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"svchost.exe","2704","Services","0","6,016 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","4232","Services","0","9,312 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2100","Services","0","31,864 K","Unknown","NT AUTHORITY\SYSTEM","0:00:32","N/A"
"svchost.exe","1772","Services","0","5,780 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"SearchIndexer.exe","5916","Services","0","27,944 K","Unknown","NT AUTHORITY\SYSTEM","0:05:02","N/A"
"claude.exe","2120","Console","1","416,232 K","Running","DESKTOP-V5BN4SC\L","0:15:35","Claude"
"claude.exe","3976","Console","1","8,064 K","Running","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"claude.exe","5996","Console","1","114,520 K","Running","DESKTOP-V5BN4SC\L","2:25:35","N/A"
"claude.exe","8656","Console","1","34,796 K","Running","DESKTOP-V5BN4SC\L","0:00:12","OleMainThreadWndName"
"claude.exe","4516","Console","1","50,400 K","Unknown","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"claude.exe","8672","Console","1","23,060 K","Unknown","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"claude.exe","4380","Console","1","1,130,696 K","Unknown","DESKTOP-V5BN4SC\L","2:23:05","N/A"
"python.exe","1732","Console","1","4,644 K","Running","DESKTOP-V5BN4SC\L","0:00:01","C:\Users\L\AppData\Local\Python\pythoncore-3.14-64\python.exe"
"uv.exe","3896","Console","1","7,772 K","Running","DESKTOP-V5BN4SC\L","0:00:00","C:\Users\L\.local\bin\uv.exe"
"conhost.exe","4116","Console","1","3,552 K","Unknown","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"conhost.exe","1204","Console","1","3,708 K","Unknown","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"claude.exe","6060","Console","1","31,136 K","Running","DESKTOP-V5BN4SC\L","0:00:01","OleMainThreadWndName"
"windows-mcp.exe","2304","Console","1","1,512 K","Unknown","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"python.exe","2528","Console","1","1,508 K","Unknown","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"python.exe","2464","Console","1","42,388 K","Running","DESKTOP-V5BN4SC\L","0:00:24","OLEChannelWnd"
"claude.exe","2520","Console","1","24,460 K","Unknown","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"claude.exe","5008","Console","1","33,144 K","Unknown","DESKTOP-V5BN4SC\L","0:00:09","N/A"
"svchost.exe","10012","Services","0","10,572 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"uv.exe","9568","Console","1","7,952 K","Running","DESKTOP-V5BN4SC\L","0:00:00","Administrator: C:\Users\L\.local\bin\uv.exe"
"conhost.exe","9784","Console","1","2,972 K","Unknown","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"windows-mcp.exe","7260","Console","1","1,572 K","Unknown","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"python.exe","10080","Console","1","1,604 K","Unknown","DESKTOP-V5BN4SC\L","0:00:00","N/A"
"python.exe","9988","Console","1","53,972 K","Not Responding","DESKTOP-V5BN4SC\L","0:00:28","OLEChannelWnd"
"python.exe","9588","Console","1","14,844 K","Unknown","DESKTOP-V5BN4SC\L","0:00:07","N/A"
"node.exe","8052","Console","1","17,640 K","Running","DESKTOP-V5BN4SC\L","0:00:00","C:\Program Files\nodejs\node.exe"
"conhost.exe","8988","Console","1","3,860 K","Unknown","DESKTOP-V5BN4SC\L","0:00:00","N/A"
